#{"t_start": 1621788826.2877219, "env_id": null}
r,l,t
4.425288,49,11.753726
4.53643,49,11.794385
6.423456,49,11.815796
4.426201,49,11.836945
4.305047,49,11.878267
4.790162,49,11.900327
7.272399,49,11.941708
7.002312,49,11.964391
6.902405,49,11.986021
5.72902,49,12.027212
5.431803,49,12.061418
6.520703,49,12.082899
6.124321,49,12.126712
7.168897,49,12.147439
6.806143,49,12.187423
4.548414,49,12.210136
4.638568,49,12.230013
6.679915,49,12.268161
5.981336,49,12.286562
5.027839,49,12.319856
5.188409,49,12.33713
4.250829,49,12.352801
5.912499,49,12.385876
4.638488,49,12.403628
5.353698,49,12.420441
7.181336,49,12.45472
4.022391,49,12.47243
7.232917,49,12.505573
7.626317,49,12.524017
6.022155,49,12.542259
5.551773,49,12.581486
4.744633,49,12.60015
5.917122,49,12.618566
5.826362,49,12.653296
5.672274,49,12.670835
6.944542,49,12.710202
4.942766,49,12.727957
5.045587,49,12.745548
6.540261,49,12.781051
6.486726,49,12.799627
6.148403,49,12.842295
5.547137,49,12.860701
7.484371,49,12.879255
5.026327,49,12.914792
6.241279,49,12.932736
6.751047,49,12.949675
6.872656,49,12.984915
7.149315,49,13.003202
4.108332,49,13.03729
6.2547,49,13.055956
6.034351,49,13.083349
5.26765,49,13.117806
5.497894,49,13.135132
3.385749,49,13.167135
6.634589,49,13.186516
6.318823,49,13.20812
7.009879,49,13.249941
3.594052,49,13.271556
5.238418,49,13.291674
3.657138,49,13.333791
3.947246,49,13.356122
6.151918,49,13.398929
7.085561,49,13.421677
6.176026,49,13.443515
6.34522,49,13.484833
6.524341,49,13.506561
5.78809,49,13.552403
5.101691,49,13.574214
4.812908,49,13.596185
5.504769,49,13.637021
7.055463,49,13.658065
7.153375,49,13.684822
6.553981,49,13.726077
7.104306,49,13.746624
5.299107,49,13.788721
6.509608,49,13.81042
6.131645,49,13.832476
6.001128,49,13.873297
6.744009,49,13.895227
6.602299,49,13.916151
6.710356,49,13.956871
4.744014,49,13.978609
7.434034,49,14.023669
7.281346,49,14.046105
5.782384,49,14.065805
6.003735,49,14.104126
6.486954,49,14.122126
5.931552,49,14.161642
6.864156,49,14.182241
5.922066,49,14.206509
5.186759,49,14.24699
5.370688,49,14.27706
5.149087,49,14.302573
6.626447,49,14.357306
5.818977,49,14.377109
6.391208,49,14.422502
6.424593,49,14.444186
6.10089,49,14.469493
5.549621,49,14.504522
